name,price,customer_ratings,category,image
"Kasa Smart Plug Power Strip HS300, Surge Protector with 6 Individually Controlled Smart Outlets and 3 USB Ports, Works with Alexa & Google Home, No Hub Required , White",$43..99,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61PI8akrKOL._AC_SX148_SY213_QL70_.jpg
"Linkind Smart Light Bulbs, Smart Bulb That Work with Alexa & Google Home, LED Light Bulbs Color Changing, 104 Preset Scene, Music Sync, A19 E26 2.4GHz RGBTW WiFi Bluetooth Light Bulb 60W, 800LM, 4Pack",$25..49,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/610pDnVRosL._AC_SX148_SY213_QL70_.jpg
"WAVLINK 2025 AX3000 WiFi 6 Wireless Outdoor Repeater, Long Range Outdoor WiFi Extender with Dual Band/PoE/IP67 /600mW of Power/Up to 256 Devices, Work with Starlink Support for Farm,Campsite",$183..99,4.3 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61+xb-NeYQL._AC_SR263,263_QL70_.jpg"
"WAVLINK 2025 AX3000 WiFi 6 Wireless Outdoor Repeater, Long Range Outdoor WiFi Extender with Dual Band/PoE/IP67 /600mW of Power/Up to 256 Devices, Work with Starlink Support for Farm,Campsite",$183..99,4.3 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61+xb-NeYQL._AC_SR263,263_QL70_.jpg"
"5MP Wireless Video Doorbell Camera, No Monthly Fee, 5GHz WiFi, 180° Head-to-Toe View, AI Motion Detection, VR Mode, Battery or Wired Powered, Easy Installation, Weatherproof",$99..97,4.5 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/71MvAWDYBBL._AC_SR263,263_QL70_.jpg"
"Runstar Smart Scale for Body Weight and Fat Percentage, High Accuracy Digital Bathroom Scale with Large Display for BMI Heart Rate 15 Body Composition Analyzer Sync with Fitness App 400lb",$39..99,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61NTLzrO27L._AC_SX148_SY213_QL70_.jpg
"Kasa Smart Indoor Pan-Tilt Home Security Camera, 1080p HD Dog Camera w/Night Vision, Motion Detection for Baby & Pet Monitor, Cloud & SD Card Storage, Works w/ Alexa & Google Home, 2.4G WiFi (EC71)",$19..99,4.4 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61GrnhJtS7L._AC_SX148_SY213_QL70_.jpg
"Fingerprint Door Lock, Smart Fingerprint Door Knob with Lock, Biometric Door Lock with App Control & Key, Keyless Thumbprint Entry Door Lock for Bedroom, Front Door, Home, Apartment-Silver",$49..99,4.5 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/71j03P7EosL._AC_SX148_SY213_QL70_.jpg
"Kasa Smart Indoor Pan-Tilt Home Security Camera, 1080p HD Dog Camera w/Night Vision, Motion Detection for Baby & Pet Monitor, Cloud & SD Card Storage, Works w/ Alexa & Google Home, 2.4G WiFi (EC71)",$19..99,4.4 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61GrnhJtS7L._AC_SX148_SY213_QL70_.jpg
"Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White",$33..99,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61Du7b9kpxL._AC_SX148_SY213_QL70_.jpg
"Wall Outlet Extender with Shelf and Night Light,Surge Protector,USB Wall Charger with 5 AC Outlets and 3 USB Ports 1 USB C Outlet Wide Space 3-Sided Power Strip Multi Plug Outlets…",$11..99,4.5 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/511RHXivY1L._AC_SX148_SY213_QL70_.jpg
"WAVLINK 2025 AX3000 WiFi 6 Wireless Outdoor Repeater, Long Range Outdoor WiFi Extender with Dual Band/PoE/IP67 /600mW of Power/Up to 256 Devices, Work with Starlink Support for Farm,Campsite",$183..99,4.3 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61+xb-NeYQL._AC_SR263,263_QL70_.jpg"
"WAVLINK 2025 AX3000 WiFi 6 Wireless Outdoor Repeater, Long Range Outdoor WiFi Extender with Dual Band/PoE/IP67 /600mW of Power/Up to 256 Devices, Work with Starlink Support for Farm,Campsite",$183..99,4.3 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61+xb-NeYQL._AC_SR263,263_QL70_.jpg"
